Date, Open, High, Low, Close
08/01/18, 28756.72, 28772.80, 28219.97, 28340.74
07/31/18, 28663.14, 28682.31, 28538.03, 28583.01
07/30/18, 28631.05, 28839.24, 28539.56, 28733.13
07/27/18, 28734.73, 28816.69, 28572.79, 28804.28
07/26/18, 29083.40, 29083.40, 28625.08, 28781.14
07/25/18, 28906.97, 28964.79, 28764.35, 28920.90
07/24/18, 28282.30, 28718.00, 28282.30, 28662.57
07/23/18, 28298.61, 28391.58, 28091.06, 28256.12
07/20/18, 28054.76, 28294.74, 27745.85, 28224.48
07/19/18, 28251.16, 28329.98, 27998.36, 28010.86
07/18/18, 28352.11, 28386.38, 28045.47, 28117.42
07/17/18, 28451.50, 28460.87, 28137.95, 28181.68
07/16/18, 28580.96, 28699.21, 28327.00, 28539.66
07/13/18, 28689.18, 28715.36, 28500.51, 28525.44
07/12/18, 28260.09, 28614.53, 28217.31, 28480.83
07/11/18, 28013.72, 28365.72, 28013.72, 28311.69
07/10/18, 28900.71, 28981.93, 28682.25, 28682.25
07/09/18, 28606.16, 28821.54, 28518.52, 28688.50
07/06/18, 28254.37, 28554.21, 27925.33, 28315.62
07/05/18, 28101.85, 28320.90, 27830.75, 28182.09
07/04/18, 28546.32, 28642.34, 28141.28, 28241.67
07/03/18, 28617.00, 28617.00, 27990.45, 28545.57
06/29/18, 28463.85, 28962.29, 28463.85, 28955.11
06/28/18, 28368.01, 28567.29, 28169.10, 28497.32
06/27/18, 28957.64, 28988.83, 28342.82, 28356.26
06/26/18, 28881.18, 29034.23, 28505.09, 28881.40
06/25/18, 29326.12, 29403.36, 28895.40, 28961.39
06/22/18, 29215.54, 29436.84, 29089.39, 29338.70
06/21/18, 29764.05, 29882.27, 29285.71, 29296.05
06/20/18, 29478.46, 29944.30, 29406.20, 29696.17
06/19/18, 29999.01, 30012.04, 29332.28, 29468.15
06/15/18, 30411.07, 30519.29, 30259.11, 30309.49
06/14/18, 30684.07, 30777.96, 30349.96, 30440.17
06/13/18, 30990.37, 31023.73, 30688.26, 30725.15
06/12/18, 31029.85, 31242.86, 30944.97, 31103.06
06/11/18, 31016.52, 31134.03, 30898.57, 31063.70
06/08/18, 31435.26, 31435.26, 30874.10, 30958.21
06/07/18, 31464.63, 31521.13, 31369.28, 31512.63
06/06/18, 31162.02, 31332.42, 31161.37, 31259.10
06/05/18, 31009.47, 31188.93, 30896.11, 31093.45
06/04/18, 30836.77, 31012.92, 30743.18, 30997.98
06/01/18, 30548.78, 30581.12, 30363.49, 30492.91
05/31/18, 30274.18, 30533.58, 30148.43, 30468.56
05/30/18, 30109.37, 30241.23, 29964.34, 30056.79
05/29/18, 30647.26, 30713.32, 30454.18, 30484.58
05/28/18, 30759.84, 30839.30, 30530.47, 30792.26
05/25/18, 30664.27, 30736.97, 30525.74, 30588.04
05/24/18, 30718.66, 30788.97, 30589.38, 30760.41
05/23/18, 31191.87, 31191.87, 30665.64, 30665.64
05/21/18, 31232.79, 31464.10, 31232.79, 31234.35
05/18/18, 31033.97, 31148.06, 30904.68, 31047.91
05/17/18, 31416.71, 31416.71, 30942.15, 30942.15
05/16/18, 31014.72, 31218.08, 30818.78, 31110.20
05/15/18, 31573.18, 31573.18, 31152.03, 31152.03
05/14/18, 31498.36, 31592.56, 31423.57, 31541.08
05/11/18, 31151.80, 31277.39, 31032.44, 31122.06
05/10/18, 30716.97, 30851.30, 30712.93, 30809.22
05/09/18, 30452.16, 30568.76, 30346.62, 30536.14
05/08/18, 30123.77, 30444.22, 30123.77, 30402.81
05/07/18, 30102.06, 30138.33, 29791.87, 29994.26
05/04/18, 30316.98, 30341.46, 29859.30, 29926.50
05/03/18, 30405.48, 30432.07, 30118.65, 30313.37
05/02/18, 30782.21, 30824.77, 30570.81, 30723.88
04/30/18, 30530.40, 30853.13, 30483.91, 30808.45
04/27/18, 30300.83, 30336.00, 30019.12, 30280.67
04/26/18, 30378.15, 30463.42, 29871.20, 30007.68
04/25/18, 30486.86, 30507.19, 30244.16, 30328.15
04/24/18, 30353.83, 30665.10, 30335.29, 30636.24
04/23/18, 30327.03, 30481.86, 30184.45, 30254.40
04/20/18, 30647.94, 30848.47, 30355.79, 30418.33
04/19/18, 30532.95, 30761.47, 30451.00, 30708.44
04/18/18, 30469.95, 30487.17, 29979.40, 30284.25
04/17/18, 30354.89, 30477.79, 30012.70, 30062.75
04/16/18, 30849.72, 30849.72, 30190.75, 30315.59
04/13/18, 31076.76, 31076.76, 30707.77, 30808.38
04/12/18, 31094.11, 31094.11, 30637.14, 30831.28
04/11/18, 30761.23, 31021.12, 30723.07, 30897.71
04/10/18, 30205.09, 30806.86, 30163.09, 30728.74
04/09/18, 30104.32, 30514.80, 29909.37, 30229.58
04/06/18, 29750.24, 29980.56, 29608.33, 29844.94
04/04/18, 30244.22, 30329.08, 29518.69, 29518.69
04/03/18, 29927.88, 30269.28, 29755.36, 30180.10
03/29/18, 30154.18, 30252.95, 29819.63, 30093.38
03/28/18, 30510.38, 30637.21, 30022.53, 30022.53
03/27/18, 30985.75, 30985.75, 30738.76, 30790.83
03/26/18, 30267.07, 30548.77, 29995.16, 30548.77
03/23/18, 29930.23, 30320.31, 29930.23, 30309.29
03/22/18, 31575.93, 31686.67, 31018.44, 31071.05
03/21/18, 31811.98, 31978.14, 31381.54, 31414.52
03/20/18, 31315.42, 31576.05, 31183.40, 31549.93
03/19/18, 31370.47, 31656.30, 31244.62, 31513.76
03/16/18, 31363.03, 31564.78, 31337.45, 31501.97
03/15/18, 31181.15, 31583.38, 31121.66, 31541.10
03/14/18, 31321.79, 31453.48, 31141.85, 31435.01
03/13/18, 31570.20, 31709.99, 31461.47, 31601.45
03/12/18, 31536.30, 31607.58, 31342.48, 31594.33
03/09/18, 30858.27, 30996.21, 30840.80, 30996.21
03/08/18, 30523.68, 30724.03, 30428.61, 30654.52
03/07/18, 30323.77, 30673.08, 30117.40, 30196.92
03/06/18, 30380.96, 30620.06, 30129.80, 30510.73
03/05/18, 30524.26, 30679.47, 29852.42, 29886.39
03/02/18, 30611.10, 30670.94, 30477.95, 30583.45
03/01/18, 30476.99, 31081.68, 30453.82, 31044.25
02/28/18, 31037.41, 31061.76, 30703.90, 30844.72
02/27/18, 31790.85, 31798.98, 31141.52, 31268.66
02/26/18, 31528.29, 31567.46, 31273.95, 31498.60
02/23/18, 31289.08, 31386.81, 31149.32, 31267.17
02/22/18, 31084.45, 31195.27, 30930.10, 30965.68
02/21/18, 31050.52, 31477.85, 30885.95, 31431.89
02/20/18, 31165.29, 31339.69, 30720.48, 30873.63
02/15/18, 30958.71, 31145.10, 30816.65, 31115.43
02/14/18, 30024.47, 30637.23, 29968.54, 30515.60
02/13/18, 29850.15, 30169.00, 29783.10, 29839.53
02/12/18, 29713.08, 29801.52, 29459.63, 29459.63
02/09/18, 29679.21, 29679.21, 29129.26, 29507.42
02/08/18, 30555.80, 30739.11, 30251.32, 30451.27
02/07/18, 31378.35, 31472.47, 30292.15, 30323.20
02/06/18, 31028.68, 31286.03, 30577.83, 30595.42
02/05/18, 31715.56, 32394.87, 31712.02, 32245.22
02/02/18, 32569.01, 32778.51, 32321.42, 32601.78
02/01/18, 32950.30, 33048.04, 32642.09, 32642.09
01/31/18, 32435.76, 32933.98, 32330.39, 32887.27
01/30/18, 32751.72, 32976.75, 32501.35, 32607.29
01/29/18, 33335.48, 33484.08, 32897.04, 32966.89
01/26/18, 32836.28, 33223.58, 32794.13, 33154.12
01/25/18, 32979.38, 32998.05, 32650.22, 32654.45
01/24/18, 32907.23, 33018.71, 32728.51, 32958.69
01/23/18, 32606.14, 32930.70, 32554.23, 32930.70
01/22/18, 32276.96, 32417.23, 32046.84, 32393.41
01/19/18, 32142.16, 32254.89, 31986.00, 32254.89
01/18/18, 32148.45, 32233.81, 31869.70, 32121.94
01/17/18, 31825.52, 31983.41, 31642.27, 31983.41
01/16/18, 31423.62, 31904.75, 31423.62, 31904.75
01/15/18, 31702.56, 31733.18, 31265.25, 31338.87
01/12/18, 31298.05, 31412.54, 31198.36, 31412.54
01/11/18, 31066.21, 31133.18, 30950.07, 31120.39
01/10/18, 31009.24, 31267.57, 30928.58, 31073.72
01/09/18, 30933.51, 31056.70, 30852.43, 31011.41
01/08/18, 30895.09, 30929.15, 30732.54, 30899.53
01/05/18, 30893.86, 30911.01, 30638.53, 30814.64
01/04/18, 30691.71, 30796.93, 30560.43, 30736.48
01/03/18, 30658.73, 30724.32, 30456.76, 30560.95
01/02/18, 30028.29, 30515.31, 30028.29, 30515.31
12/29/17, 29914.05, 29997.96, 29849.31, 29919.15
